Number,Year,Title,Genre,Rated,Type,imdbRating,Runtime,Director,Writer,Actors,Language,Country,Awards,imdbVotes,imdbID
15394,2000,Traffic,"Crime, Drama, Thriller",R,movie,7.6,147 min,Steven Soderbergh,"Simon Moore (miniseries Traffik), Stephen Gaghan (screenplay)","Benicio Del Toro, Jacob Vargas, Andrew Chavez, Michael Saucedo","English, Spanish","USA, Germany",Won 4 Oscars. Another 69 wins & 83 nominations.,"172,002",tt0181865
15395,2000,Unknown Peter Sellers,"Documentary, Biography",N/A,movie,7.7,52 min,"David Leaf, John Scheinfeld","David Leaf, John Scheinfeld","Fred Applegate, David Frost, Richard Lester, David Lodge",English,"USA, Canada",0,127,tt0243637
15397,1989,The Trial of the Incredible Hulk,"Action, Adventure, Drama",NOT RATED,movie,5.9,100 min,Bill Bixby,Gerald Di Pego,"Bill Bixby, Lou Ferrigno, Marta DuBois, Nancy Everhard",English,USA,0,"1,767",tt0098512
15399,2002,100 Mile Rule,Comedy,R,movie,5.8,98 min,Brent Huff,Drew Pillsbury,"Jake Weber, Maria Bello, David Thornton, Michael McKean",English,USA,1 win.,640,tt0299422
15402,1995,Madame Butterfly,"Drama, Music",N/A,movie,7,134 min,Frédéric Mitterrand,"Giuseppe Giacosa (libretto), Luigi Illica (libretto), Frédéric Mitterrand (adaptation)","Ying Huang, Richard Troxell, Ning Liang, Richard Cowan",Italian,"France, UK, Germany",1 win & 1 nomination.,483,tt0113731
15409,2004,Eurotrip,Comedy,R,movie,6.6,93 min,"Jeff Schaffer, Alec Berg, David Mandel","Alec Berg, David Mandel, Jeff Schaffer","Scott Mechlowicz, Jacob Pitts, Kristin Kreuk, Cathy Meils","English, French, German, Italian, Japanese","USA, Czech Republic",2 nominations.,"162,843",tt0356150
15410,2002,The Dancer Upstairs,"Drama, Thriller, Crime",R,movie,7,132 min,John Malkovich,"Nicholas Shakespeare (novel), Nicholas Shakespeare (screenplay)","Javier Bardem, Juan Diego Botto, Laura Morante, Elvira Mínguez","English, Quechua, Spanish","Spain, USA",1 win & 3 nominations.,"5,569",tt0118926
15412,2002,Mango Souffle,"Comedy, Drama",N/A,movie,5.9,90 min,Mahesh Dattani,"Mahesh Dattani (screenplay), Mahesh Dattani (story), Manesh Dattani","Rinke Khanna, Darius Taraporewal, Veena Sajnani, Ankur Vikal",English,India,0,109,tt0355740
15415,1984,Thief of Hearts,"Drama, Thriller, Crime",R,movie,5.7,100 min,Douglas Day Stewart,Douglas Day Stewart,"Steven Bauer, Barbara Williams, John Getz, David Caruso",English,USA,1 nomination.,"1,297",tt0088256
15417,2003,Stander,"Action, Biography, Crime",R,movie,7.2,111 min,Bronwen Hughes,Bima Stagg,"Thomas Jane, Dexter Fletcher, David O'Hara, Deborah Kara Unger","English, Afrikaans, Zulu","Canada, Germany, South Africa, UK",3 nominations.,"7,072",tt0326208
15420,1995,Flamenco,"Documentary, Music",N/A,movie,7.4,100 min,Carlos Saura,Carlos Saura,"La Paquera de Jerez, Merche Esmeralda, Manolo Sanlúcar, Joaquín Cortés",Spanish,Spain,2 nominations.,602,tt0113077
15421,1995,Sense and Sensibility,"Drama, Romance",PG,movie,7.7,136 min,Ang Lee,"Jane Austen (novel), Emma Thompson (screenplay)","James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet","English, French","USA, UK",Won 1 Oscar. Another 31 wins & 45 nominations.,"79,185",tt0114388
15422,1985,Fletch,"Comedy, Crime, Mystery",PG,movie,6.9,98 min,Michael Ritchie,"Gregory McDonald (novel), Andrew Bergman (screenplay)","Chevy Chase, Joe Don Baker, Dana Wheeler-Nicholson, Richard Libertini",English,USA,1 nomination.,"37,972",tt0089155
15424,1989,sex,Drama,R,movie,7.2,100 min,Steven Soderbergh,Steven Soderbergh,"James Spader, Andie MacDowell, Peter Gallagher, Laura San Giacomo",English,USA,Nominated for 1 Oscar. Another 14 wins & 20 nominations.,"38,165",tt0098724
15425,1998,The Big Lebowski,"Comedy, Crime",R,movie,8.2,117 min,"Joel Coen, Ethan Coen","Ethan Coen, Joel Coen","Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi","English, German, Hebrew, Spanish","USA, UK",4 wins & 16 nominations.,"543,943",tt0118715
15427,2001,Girl from Rio,Comedy,N/A,movie,5.7,102 min,Christopher Monger,"Juan Carlos Guerrero Torres (idea), Julián Ibáñez (screenplay), Francisco Lara Polop (screenplay), Christopher Monger (screenplay)","Hugh Laurie, Vanessa Nunes, Santiago Segura, Patrick Barlow","English, Portuguese","Spain, UK",1 win.,876,tt0227980
15429,1981,The Fox and the Hound,"Animation, Adventure, Drama",G,movie,7.3,83 min,"Ted Berman, Richard Rich, Art Stevens","Daniel P. Mannix (based on the book by), Larry Clemmons (story), Ted Berman (story), David Michener (story), Peter Young (story), Burny Mattinson (story), Steve Hulett (story), Earl Kress (story), Vance Gerry (story)","Mickey Rooney, Kurt Russell, Pearl Bailey, Jack Albertson",English,USA,1 win & 2 nominations.,"64,287",tt0082406
15434,2001,In the Shadows,"Drama, Thriller",R,movie,5.1,105 min,Ric Roman Waugh,Ric Roman Waugh,"Matthew Modine, James Caan, Joey Lauren Adams, Lillo Brancato",English,USA,0,743,tt0247427
15435,2004,Dean Martin: The One and Only,"Documentary, Music",N/A,movie,6.3,70 min,Marino Amoruso,Marino Amoruso,"Pat Cooper, Jerry Lewis, Dean Martin",English,USA,0,11,tt0930567
15436,1998,A Perfect Murder,"Crime, Drama, Thriller",R,movie,6.5,107 min,Andrew Davis,"Frederick Knott (play), Patrick Smith Kelly (screenplay)","Michael Douglas, Gwyneth Paltrow, Viggo Mortensen, David Suchet","English, Arabic",USA,2 wins & 3 nominations.,"65,153",tt0120787
15438,2004,The Off Season,Horror,PG-13,movie,2,90 min,James Felix McKenney,James Felix McKenney,"Christina Campanella, Don Wood, Angus Scrimm, Ruth Kulerman",English,USA,0,453,tt0387460
15440,1995,Just Cause,"Action, Crime, Drama",R,movie,6.4,102 min,Arne Glimcher,"John Katzenbach (novel), Jeb Stuart (screenplay), Peter Stone (screenplay)","Sean Connery, Laurence Fishburne, Kate Capshaw, Blair Underwood",English,USA,1 win.,"19,745",tt0113501
15443,1983,Superman III,"Action, Comedy, Sci-Fi",PG,movie,4.9,125 min,Richard Lester,"Joe Shuster (character created by: Superman), Jerry Siegel (character created by: Superman), David Newman (screenplay), Leslie Newman (screenplay)","Christopher Reeve, Richard Pryor, Jackie Cooper, Marc McClure","English, Italian, Spanish","UK, USA, Netherlands",2 wins & 6 nominations.,"50,822",tt0086393
15444,1995,The Indian in the Cupboard,"Drama, Family, Fantasy",PG,movie,5.9,96 min,Frank Oz,"Lynne Reid Banks (novel), Melissa Mathison (screenplay)","Hal Scardino, Litefoot, Lindsay Crouse, Richard Jenkins",English,USA,1 win & 6 nominations.,"20,864",tt0113419
15445,1986,Ruthless People,"Comedy, Crime",R,movie,6.9,93 min,"Jim Abrahams, David Zucker, Jerry Zucker","Dale Launer, O. Henry (story ""The Ransom of Red Chief"")","Danny DeVito, Bette Midler, Judge Reinhold, Helen Slater",English,USA,Nominated for 1 Golden Globe. Another 1 win & 2 nominations.,"21,598",tt0091877
15447,1989,Valmont,"Drama, Romance",R,movie,7,137 min,Milos Forman,"Choderlos de Laclos (novel), Jean-Claude Carrière, Milos Forman","Colin Firth, Annette Bening, Meg Tilly, Fairuza Balk",English,"France, USA",Nominated for 1 Oscar. Another 3 wins & 4 nominations.,"10,091",tt0098575
15448,2000,The Opponent,"Drama, Sport",R,movie,6.6,90 min,Eugene Jarecki,Eugene Jarecki,"Erika Eleniak, James Colby, Aunjanue Ellis, John Doman",English,USA,0,170,tt0223856
15449,2005,Man of the House,"Action, Comedy",PG-13,movie,5.4,100 min,Stephen Herek,"John J. McLaughlin (story), Scott Lobdell (story), Robert Ramsey (screenplay), Matthew Stone (screenplay), John J. McLaughlin (screenplay)","Tommy Lee Jones, Cedric the Entertainer, Christina Milian, Paula Garcés",English,USA,0,"19,932",tt0331933
15450,2001,The Man Who Wasn't There,"Crime, Drama",R,movie,7.6,116 min,"Joel Coen, Ethan Coen","Joel Coen, Ethan Coen","Billy Bob Thornton, Frances McDormand, Michael Badalucco, James Gandolfini","English, Italian, French","USA, UK",Nominated for 1 Oscar. Another 24 wins & 41 nominations.,"86,775",tt0243133
15455,1993,Point of No Return,"Action, Crime, Drama",R,movie,6,109 min,John Badham,"Luc Besson (film La Femme Nikita), Robert Getchell (screenplay), Alexandra Seros (screenplay)","Bridget Fonda, Gabriel Byrne, Dermot Mulroney, Miguel Ferrer","English, French",USA,0,"20,529",tt0107843
15456,1926,The Black Pirate,"Adventure, Action",N/A,movie,7.2,88 min,Albert Parker,"Douglas Fairbanks (story), Jack Cunningham (adapted by)","Billie Dove, Tempe Pigott, Donald Crisp, Sam De Grasse",N/A,USA,1 win.,"1,253",tt0016654
15460,1970,A Man Called Horse,"Adventure, Drama, Western",R,movie,6.9,114 min,Elliot Silverstein,"Jack DeWitt (screenplay), Dorothy M. Johnson (story)","Richard Harris, Judith Anderson, Jean Gascon, Manu Tupou","English, Sioux, French",USA,1 win & 2 nominations.,"6,672",tt0066049
15462,1991,Queens Logic,"Comedy, Drama",R,movie,5.9,100 min,Steve Rash,"Tony Spiridakis (story), Joseph W. Savino (story), Tony Spiridakis (screenplay)","Kevin Bacon, Linda Fiorentino, John Malkovich, Joe Mantegna",English,USA,1 nomination.,"1,302",tt0102741
15465,1980,Friday the 13th,"Horror, Mystery, Thriller",R,movie,6.5,95 min,Sean S. Cunningham,"Victor Miller, Sean S. Cunningham (story), Victor Miller (story)","Betsy Palmer, Adrienne King, Jeannine Taylor, Robbi Morgan",English,USA,5 nominations.,"83,911",tt0080761
15466,1998,Firestorm,"Thriller, Action",R,movie,4.6,89 min,Dean Semler,Chris Soth,"Howie Long, Scott Glenn, William Forsythe, Suzy Amis",English,USA,0,"3,143",tt0120670
15467,2003,Jhankaar Beats,"Comedy, Musical, Romance",N/A,movie,7.3,N/A,Sujoy Ghosh,"Sujoy Ghosh (story), Milap Zaveri (dialogue), Sujoy Ghosh (dialogue), Suresh Nair (dialogue)","Sanjay Suri, Rahul Bose, Juhi Chawla, Rinke Khanna","Hindi, English",India,2 wins & 11 nominations.,"1,542",tt0347278
15472,1996,Ransom,"Crime, Thriller",R,movie,6.6,121 min,Ron Howard,"Cyril Hume (story), Richard Maibaum (story), Richard Price (screenplay), Alexander Ignon (screenplay)","Mel Gibson, Rene Russo, Brawley Nolte, Gary Sinise",English,USA,Nominated for 1 Golden Globe. Another 3 wins & 4 nominations.,"99,835",tt0117438
15473,1993,Hot Shots! Part Deux,"Action, Comedy",PG-13,movie,6.6,86 min,Jim Abrahams,"Jim Abrahams (characters), Pat Proft (characters), Jim Abrahams, Pat Proft","Charlie Sheen, Lloyd Bridges, Valeria Golino, Richard Crenna",English,USA,1 win.,"67,801",tt0107144
15474,2001,Rock Star,"Drama, Music",R,movie,6.2,105 min,Stephen Herek,John Stockwell,"Mark Wahlberg, Jennifer Aniston, Dominic West, Jason Bonham",English,USA,1 nomination.,"34,853",tt0202470
15475,1943,The Ox-Bow Incident,"Drama, Western",NOT RATED,movie,8.1,75 min,William A. Wellman,"Lamar Trotti (written for the screen by), Walter Van Tilburg Clark (from the novel by)","Henry Fonda, Dana Andrews, Mary Beth Hughes, Anthony Quinn","English, Spanish",USA,Nominated for 1 Oscar. Another 3 wins & 1 nomination.,"16,015",tt0036244
15477,2000,Girlfight,"Drama, Sport",R,movie,6.8,110 min,Karyn Kusama,Karyn Kusama,"Michelle Rodriguez, Jaime Tirelli, Paul Calderon, Santiago Douglas","English, Spanish",USA,15 wins & 16 nominations.,"8,230",tt0210075
15479,2000,Hamara Dil Aapke Paas Hai,"Family, Comedy, Drama",N/A,movie,5.6,165 min,Satish Kaushik,"Jainendra Jain (dialogue), Bhupati Raja (screenplay), Bhupati Raja (story)","Anil Kapoor, Aishwarya Rai Bachchan, Sonali Bendre, Puru Rajkumar",Hindi,India,1 win & 4 nominations.,"1,319",tt0255212
15481,2001,See Spot Run,"Action, Comedy, Crime",PG,movie,5.4,94 min,John Whitesell,"George Gallo (screenplay), Gregory Poirier (screenplay), Dan Baron (screenplay), Chris Faber (screenplay), Andrew Deane (story), Michael Alexander Miller (story), George Gallo (story), Stuart Gibbs (adaptation), Craig Titley (adaptation)","David Arquette, Michael Clarke Duncan, Leslie Bibb, Joe Viterelli","English, American Sign Language","USA, Australia",1 nomination.,"7,476",tt0250720
15482,2003,Madea's Class Reunion,Comedy,NOT RATED,movie,4.1,120 min,Tyler Perry,Tyler Perry,"Tyler Perry, Terrell Carter, Chantell D. Christopher, Chandra Currelley-Young",English,USA,0,"1,008",tt0427481
15483,2001,Texas Rangers,"Action, Adventure, Drama",PG-13,movie,5.2,90 min,Steve Miner,"George Durham (book), Scott Busby, Martin Copeland","James Van Der Beek, Rachael Leigh Cook, Ashton Kutcher, Dylan McDermott",English,USA,0,"4,785",tt0193560
15484,2004,Love's Enduring Promise,"Drama, Family, Western",N/A,movie,7.3,120 min,Michael Landon Jr.,"Cindy Kelley (teleplay), Michael Landon Jr. (teleplay), Janette Oke (book)","January Jones, Logan Bartholomew, Dale Midkiff, Katherine Heigl",English,USA,1 win & 2 nominations.,"2,528",tt0402348
15485,1995,The Pebble and the Penguin,"Animation, Adventure, Comedy",G,movie,5.6,74 min,"Don Bluth, Gary Goldman","Rachel Koretsky (screenplay), Stephen Whitestone (screenplay)","Martin Short, Annie Golden, Jim Belushi, Tim Curry",English,"Ireland, USA",1 nomination.,"3,227",tt0114108
15489,1957,Mother India,"Drama, Musical, Family",N/A,movie,8.1,172 min,Mehboob Khan,"Wajahat Mirza (dialogue), S. Ali Raza (dialogue)","Nargis, Sunil Dutt, Rajendra Kumar, Raaj Kumar",Hindi,India,Nominated for 1 Oscar. Another 6 wins.,"5,421",tt0050188
15490,2004,This Old Cub,"Documentary, Sport",NOT RATED,movie,8.3,86 min,Jeff Santo,Jeff Santo,"Ron Santo, Dennis Farina, Dennis Franz, Pat Hughes",English,USA,0,347,tt0408261
15491,1984,Racing with the Moon,"Comedy, Drama, Romance",PG,movie,6.8,108 min,Richard Benjamin,Steve Kloves,"Sean Penn, Elizabeth McGovern, Nicolas Cage, John Karlen",English,USA,1 win.,"3,326",tt0087968
15492,2002,The Pilot's Wife,Drama,PG-13,movie,5.7,89 min,Robert Markowitz,"Anita Shreve (novel), Anita Shreve (teleplay), Christine Berardo (teleplay)","Christine Lahti, Campbell Scott, Alison Pill, Kirsty Mitchell",English,"Canada, USA",0,485,tt0289390
15494,1963,The Mouse on the Moon,"Comedy, Romance, Sci-Fi",APPROVED,movie,6.5,82 min,Richard Lester,"Leonard Wibberley (novel), Michael Pertwee (screenplay)","Margaret Rutherford, Ron Moody, Bernard Cribbins, David Kossoff","Russian, English",UK,0,"1,133",tt0057328
15496,1969,Easy Rider,"Adventure, Drama",R,movie,7.4,95 min,Dennis Hopper,"Peter Fonda, Dennis Hopper, Terry Southern","Peter Fonda, Dennis Hopper, Antonio Mendoza, Phil Spector","English, Spanish",USA,Nominated for 2 Oscars. Another 8 wins & 12 nominations.,"75,323",tt0064276
15497,2001,Bride of the Wind,"Biography, Drama, Music",R,movie,5.7,99 min,Bruce Beresford,Marilyn Levy,"Sarah Wynter, Jonathan Pryce, Vincent Perez, Simon Verhoeven",English,"UK, Germany, Austria",0,493,tt0212827
15501,1985,Dance with a Stranger,"Biography, Crime, Drama",R,movie,6.8,96 min,Mike Newell,Shelagh Delaney,"Miranda Richardson, Rupert Everett, Ian Holm, Matthew Carroll",English,UK,3 wins & 3 nominations.,"1,928",tt0088987
15502,1997,Dance with the Devil,"Action, Crime, Horror",R,movie,6.3,126 min,Álex de la Iglesia,"Barry Gifford (novel), Barry Gifford (screenplay), David Trueba (screenplay), Álex de la Iglesia (screenplay), Jorge Guerricaechevarría (screenplay)","Rosie Perez, Javier Bardem, Harley Cross, Aimee Graham","English, Spanish","Mexico, USA, Spain",6 wins & 5 nominations.,"6,518",tt0119879
15503,1975,Aloha,Drama,PG,movie,6.1,88 min,Floyd Mutrux,Floyd Mutrux,"Paul Le Mat, Dianne Hull, Tim McIntire, Leigh French",English,USA,0,317,tt0073941
15504,1930,Murder!,"Crime, Mystery, Thriller",TV-PG,movie,6.4,92 min,Alfred Hitchcock,"Clemence Dane (from: ""Enter Sir John""), Helen Simpson (from: ""Enter Sir John""), Alfred Hitchcock (adapted by), Walter C. Mycroft (adapted by), Alma Reville (scenario)","Herbert Marshall, Norah Baring, Phyllis Konstam, Edward Chapman",English,UK,0,"4,130",tt0021165
15506,2001,I Love You Baby,"Comedy, Drama, Romance",R,movie,5.3,110 min,"Alfonso Albacete, David Menkes","Alfonso Albacete, Lucía Etxebarría, David Menkes","Jorge Sanz, Tiaré Scanda, Santiago Magill, Verónica Forqué",Spanish,Spain,1 nomination.,268,tt0300016
15507,1945,State Fair,"Musical, Romance",APPROVED,movie,7.1,100 min,Walter Lang,"Oscar Hammerstein II (screenplay), Philip Stong (from a novel by), Sonya Levien (adapted by), Paul Green (adapted by)","Jeanne Crain, Dana Andrews, Dick Haymes, Vivian Blaine",English,USA,Won 1 Oscar. Another 3 nominations.,"2,790",tt0038116
15508,1994,Dead Tired,Comedy,R,movie,6.4,92 min,Michel Blanc,"Michel Blanc (scenario and dialogue), Bertrand Blier (original idea)","Michel Blanc, Carole Bouquet, Philippe Noiret, Josiane Balasko","French, English",France,2 wins & 2 nominations.,"1,515",tt0109942
15512,2001,Mindstorm,"Action, Horror, Mystery",R,movie,3,97 min,Richard Pepin,"Richard Pepin (story), Michael Derbas (story), Paul A. Birkett","Antonio Sabato Jr., Emmanuelle Vaugier, Clarence Williams III, Ed O'Ross",English,Canada,0,506,tt0263746
15515,1998,Belly,"Crime, Drama",R,movie,5.9,96 min,Hype Williams,"Anthony Bodden (story), Nas (story), Hype Williams (story), Hype Williams","DMX, Nas, Hassan Johnson, Taral Hicks",English,"Jamaica, USA",1 nomination.,"7,023",tt0158493
15516,1992,Sarafina!,"Drama, Musical",PG-13,movie,6.4,117 min,Darrell Roodt,"Mbongeni Ngema (play), Mbongeni Ngema (screenplay), William Nicholson (screenplay)","Leleti Khumalo, Whoopi Goldberg, Miriam Makeba, John Kani","English, Zulu","South Africa, UK, France, USA",3 nominations.,"1,507",tt0105316
15519,1980,House on the Edge of the Park,"Crime, Drama, Horror",UNRATED,movie,5.9,91 min,Ruggero Deodato,"Gianfranco Clerici, Vincenzo Mannino","David Hess, Annie Belle, Christian Borromeo, Giovanni Lombardo Radice","Italian, English",Italy,0,"3,643",tt0080503
15522,2004,The Winning Season,"Drama, Family, Fantasy",PG,movie,5.7,120 min,John Kent Harrison,"Dan Gutman (book), Steve Bloom (teleplay)","Matthew Modine, Kristin Davis, Shawn Hatosy, William Lee Scott","German, English",USA,Nominated for 1 Primetime Emmy. Another 4 nominations.,265,tt0379029
15524,2001,A Woman's a Helluva Thing,"Comedy, Drama, Romance",R,movie,4.9,89 min,Karen Leigh Hopkins,Karen Leigh Hopkins,"Angus Macfadyen, Penelope Ann Miller, Ann-Margret, Kathryn Harrold",English,USA,0,84,tt0218727
15525,1979,H.O.T.S.,Comedy,R,movie,4.2,98 min,Gerald Seth Sindell,"W. Terry Davis (original idea), W. Terry Davis (story), Cheri Caffaro (story), Joan Buchanan (story), Cheri Caffaro (screenplay), Joan Buchanan (screenplay)","Susan Kiger, Lisa London, Pamela Jean Bryant, Kimberly Cameron",English,USA,0,"1,390",tt0079257
15526,1985,Live Aid,"Documentary, Music",N/A,movie,8.5,960 min,Vincent Scarza,Bob Geldof (idea),"Bob Geldof, Bryan Adams, Stuart Adamson, Mo Amin",English,"USA, UK",1 win & 2 nominations.,"1,363",tt0261024
15527,1999,Golfballs!,Comedy,R,movie,4.2,86 min,Steve Procko,Robert Small,"Greg Longenhagen, Todd Allen Durkin, Christy Tummond, Dan Barkley",English,USA,0,276,tt0197523
15529,1997,Money Talks,"Action, Comedy, Crime",R,movie,6.1,97 min,Brett Ratner,"Joel Cohen, Alec Sokolow","Chris Tucker, Charlie Sheen, Heather Locklear, Elise Neal","English, French",USA,1 nomination.,"22,905",tt0119695
15530,1992,Howards End,"Drama, Romance",PG,movie,7.5,140 min,James Ivory,"E.M. Forster (novel), Ruth Prawer Jhabvala (screenplay)","Vanessa Redgrave, Helena Bonham Carter, Joseph Bennett, Emma Thompson","English, German","UK, Japan, USA",Won 3 Oscars. Another 27 wins & 36 nominations.,"21,310",tt0104454
15531,1996,Courage Under Fire,"Action, Drama, Mystery",R,movie,6.6,116 min,Edward Zwick,Patrick Sheane Duncan,"Denzel Washington, Meg Ryan, Lou Diamond Phillips, Michael Moriarty","English, Arabic",USA,9 wins & 7 nominations.,"40,580",tt0115956
15532,1999,She's All That,"Comedy, Romance",PG-13,movie,5.8,95 min,Robert Iscove,R. Lee Fleming Jr.,"Freddie Prinze Jr., Rachael Leigh Cook, Matthew Lillard, Paul Walker",English,USA,8 wins & 5 nominations.,"67,496",tt0160862
15537,1949,Impact,"Crime, Drama, Film-Noir",UNRATED,movie,7,111 min,Arthur Lubin,"Dorothy Davenport (screenplay), Jay Dratler (screenplay), Jay Dratler (original story)","Brian Donlevy, Ella Raines, Charles Coburn, Helen Walker",English,USA,0,"2,001",tt0041503
15538,2004,Fullmetal Alchemist,"Action, Adventure, Drama",N/A,game,8.4,N/A,Shigeru Maekawa,"Hiromu Arakawa (Fullmetal Alchemist creator), Ryousuke, Tatsumiyajou Uchida","Vic Mignogna, Aaron Dismuke, Caitlin Glass, Juli Erickson","English, Japanese",Japan,0,57,tt0479923
15540,1989,Born on the Fourth of July,"Biography, Drama, War",R,movie,7.2,145 min,Oliver Stone,"Ron Kovic (book), Oliver Stone (screenplay), Ron Kovic (screenplay)","Tom Cruise, Raymond J. Barry, Caroline Kava, Josh Evans","English, Spanish",USA,Won 2 Oscars. Another 13 wins & 23 nominations.,"77,614",tt0096969
15544,2004,Head-On,"Drama, Romance",R,movie,8,121 min,Fatih Akin,Fatih Akin (book),"Birol Ünel, Güven Kiraç, Zarah Jane McKenzie, Stefan Gebelhoff","German, Turkish, English","Germany, Turkey",25 wins & 13 nominations.,"41,288",tt0347048
15545,1997,Selena,"Biography, Drama, Music",PG,movie,6.7,127 min,Gregory Nava,Gregory Nava,"Jennifer Lopez, Jackie Guerra, Constance Marie, Alex Meneses","English, Spanish",USA,Nominated for 1 Golden Globe. Another 8 wins & 5 nominations.,"19,298",tt0120094
15549,2000,The Skulls,"Action, Crime, Drama",PG-13,movie,5.6,106 min,Rob Cohen,John Pogue,"Joshua Jackson, Paul Walker, Hill Harper, Leslie Bibb",English,"USA, Canada",1 nomination.,"27,031",tt0192614
15551,1953,Beneath the 12-Mile Reef,Adventure,APPROVED,movie,5.8,102 min,Robert D. Webb,A.I. Bezzerides,"Robert Wagner, Terry Moore, Gilbert Roland, J. Carrol Naish","English, Greek",USA,Nominated for 1 Oscar. Another 1 nomination.,805,tt0045551
15553,2001,Promises,Documentary,N/A,movie,8.5,106 min,"B.Z. Goldberg, Justine Shapiro, Carlos Bolado","B.Z. Goldberg, Stephen Most (consulting writer), Justine Shapiro","Moishe Bar Am, B.Z. Goldberg, Shlomo Green, Sanabel Hassan","English, Arabic, Hebrew",USA,Nominated for 1 Oscar. Another 13 wins & 3 nominations.,"2,393",tt0282864
15556,1967,Weekend,"Adventure, Comedy, Drama",NOT RATED,movie,7.4,105 min,Jean-Luc Godard,Jean-Luc Godard,"Mireille Darc, Jean Yanne, Jean-Pierre Kalfon, Karl Marx",French,"France, Italy",1 win & 3 nominations.,"9,717",tt0062480
15558,2001,All About Lily Chou-Chou,"Crime, Drama, Music",N/A,movie,7.7,146 min,Shunji Iwai,Shunji Iwai,"Hayato Ichihara, Shûgo Oshinari, Ayumi Itô, Takao Ohsawa","Japanese, Ryukyuan",Japan,4 wins.,"6,279",tt0297721
15563,2003,Mona Lisa Smile,Drama,PG-13,movie,6.4,117 min,Mike Newell,"Lawrence Konner, Mark Rosenthal","Julia Roberts, Kirsten Dunst, Julia Stiles, Maggie Gyllenhaal","English, Italian",USA,Nominated for 1 Golden Globe. Another 5 nominations.,"62,094",tt0304415
15564,2003,Looney Tunes: Stranger Than Fiction,"Animation, Adventure, Comedy",N/A,movie,6.5,68 min,Steve Belfer,"Gregor Joackim, David B. Fain, John P. McCann, Michael R. Viner, Adam Lane","Joe Alaskey, Bob Bergen, Greg Burson, Jim Cummings",English,USA,0,88,tt0389124
15570,1999,Passport to Paris,"Family, Comedy",G,movie,5.2,87 min,Alan Metter,"Elizabeth Kruger, Craig Shapiro","Mary-Kate Olsen, Ashley Olsen, Peter White, Matt Winston","French, English",USA,0,"3,955",tt0202521
15573,2005,Rise of the Undead,Horror,N/A,movie,2.4,89 min,"J. Horton, Shannon Hubbell","J. Horton, Shannon Hubbell","Chrystal Skye Jordan, Mark Karem, Chantal Koerner, Blaine Cade",English,USA,0,206,tt0453540
15575,1951,Royal Wedding,"Comedy, Musical, Romance",NOT RATED,movie,6.7,93 min,Stanley Donen,"Alan Jay Lerner (story), Alan Jay Lerner (screenplay)","Fred Astaire, Jane Powell, Peter Lawford, Sarah Churchill",English,USA,0,"3,622",tt0043983
15576,1994,Bad Girls,"Romance, Western",R,movie,5.1,99 min,Jonathan Kaplan,"Albert S. Ruddy (story), Charles Finch (story), Gray Frederickson (story), Ken Friedman (screenplay), Yolande Turner (screenplay)","Madeleine Stowe, Mary Stuart Masterson, Andie MacDowell, Drew Barrymore","English, Spanish",USA,0,"9,572",tt0109198
15578,1996,Black Sheep,Comedy,PG-13,movie,6.2,87 min,Penelope Spheeris,Fred Wolf,"Chris Farley, David Spade, Tim Matheson, Christine Ebersole",English,USA,0,"30,056",tt0115697
15581,1973,Detroit 9000,"Crime, Drama, Action",R,movie,6.4,106 min,Arthur Marks,Orville H. Hampton (screenplay),"Alex Rocco, Hari Rhodes, Vonetta McGee, Herbert Jefferson Jr.",English,USA,0,781,tt0069966
15582,2002,Sweet Home Alabama,"Comedy, Romance",PG-13,movie,6.2,108 min,Andy Tennant,"Douglas J. Eboch (story), C. Jay Cox (screenplay)","Reese Witherspoon, Josh Lucas, Patrick Dempsey, Candice Bergen",English,USA,3 wins & 6 nominations.,"84,291",tt0256415
15585,2001,Ajnabee,"Crime, Mystery, Thriller",N/A,movie,6.5,165 min,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Robin Bhatt (screenplay), Sanjeev Duggal (screenplay), Shyam Goel (dialogue), Shyam Goel (screenplay), Neeraj Vora (screenplay), Neeraj Vora (story)","Akshay Kumar, Bobby Deol, Kareena Kapoor, Bipasha Basu",Hindi,India,2 wins & 9 nominations.,"5,501",tt0278291
15586,1993,A Man in Uniform,"Drama, Thriller",R,movie,6.8,99 min,David Wellington,David Wellington,"Tom McCamus, Brigitte Bako, Kevin Tighe, David Hemblen",English,Canada,7 wins & 4 nominations.,473,tt0107179
15592,1994,Camp Nowhere,"Adventure, Comedy, Family",PG,movie,5.9,96 min,Jonathan Prince,"Andrew Kurtzman, Eliot Wald","John Putch, Peter Scolari, Romy Windsor, Jonathan Jackson",English,USA,0,"7,337",tt0109369
15593,1965,Color Me Blood Red,"Comedy, Horror",UNRATED,movie,5.3,79 min,Herschell Gordon Lewis,Herschell Gordon Lewis (original story and screenplay),"Gordon Oas-Heim, Candi Conder, Elyn Warner, Pat Finn-Lee",English,USA,0,"1,021",tt0059044
15595,2001,The Omen Legacy,Documentary,N/A,movie,7.1,100 min,Brent Zacky,"Naomi Pfefferman, Brent Zacky","Jack Palance, David Seltzer, Blanche Barton, Doug Posey",English,USA,0,193,tt0300295
